Statistic,Frequency 1,Frequency 2,Frequency 3
Lowest Allele Frequency Used,0.050,0+,No S*
Harmonic Mean Sample Size,14.5,15.8,15.4
Independent Comparisons,1112536,1637841,1188738
OverAll r^2,0.067642,0.062979,0.066463
Expected r^2 Sample,0.063694,0.060671,0.062678
Estimated Ne^,76.3,131.7,79.6
CI low Parametric,72.9,124.2,76.2
CI high Parametric,80,140.1,83.4
CI low JackKnife,47,77.1,46.9
CI high JackKnife,179.5,398,221.6
Waples' corrected Ne,88.3,152.5,92.2
Waples' corrected CI low Parametric,84.4,143.8,88.2
Waples' corrected CI high Parametric,92.6,162.2,96.6
Waples' corrected CI low JackKnife,54.4,89.3,54.3
Waples' corrected CI high JackKnife,207.8,460.8,256.6
