term_name,term_id,p_value,term_size,query_size,intersection_size,precision,recall,source,effective_domain_size,source_order,parents,evidence_codes,intersection
early phagosome membrane,GO:0036186,0.02604166666666541,1,5,1,0.2,1,GO:CC,12096,1926,"GO:0030670,GO:0032009",IEA,ENSGALG00000027122
early phagosome,GO:0032009,0.045527720391853016,7,5,1,0.2,0.14285714285714285,GO:CC,12096,1457,GO:0045335,IEA,ENSGALG00000027122
pinosome,GO:0044352,0.045527720391853016,6,5,1,0.2,0.16666666666666666,GO:CC,12096,2323,GO:0005768,IEA,ENSGALG00000027122
macropinosome,GO:0044354,0.045527720391853016,6,5,1,0.2,0.16666666666666666,GO:CC,12096,2325,GO:0044352,IEA,ENSGALG00000027122
phagocytic vesicle membrane,GO:0030670,0.046813026787255546,9,5,1,0.2,0.1111111111111111,GO:CC,12096,1127,"GO:0030666,GO:0045335",IEA,ENSGALG00000027122
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",GO:0016709,0.0051424895922898345,20,9,2,0.2222222222222222,0.1,GO:MF,12697,3682,"GO:0004497,GO:0016705","IEA,IEA","ENSGALG00000016102,ENSGALG00000032190"
monooxygenase activity,GO:0004497,0.04392913427503466,82,9,2,0.2222222222222222,0.024390243902439025,GO:MF,12697,1099,GO:0016491,"IEA,IEA","ENSGALG00000016102,ENSGALG00000032190"
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",GO:0016705,0.04558113044511577,133,9,2,0.2222222222222222,0.015037593984962405,GO:MF,12697,3678,GO:0016491,"IEA,IEA","ENSGALG00000016102,ENSGALG00000032190"
NAD(P)H oxidase H2O2-forming activity,GO:0016174,0.04558113044511577,5,9,1,0.1111111111111111,0.2,GO:MF,12697,3440,GO:0050664,IEA,ENSGALG00000032190
retinoic acid 4-hydroxylase activity,GO:0008401,0.04558113044511577,4,9,1,0.1111111111111111,0.25,GO:MF,12697,2130,"GO:0004497,GO:0016705",IEA,ENSGALG00000016102
Abnormality of the humeroradial joint,HP:0100744,0.02227628020695698,41,2,2,1,0.04878048780487805,HP,4025,15493,HP:0009811,"HP,HP","ENSGALG00000016098,ENSGALG00000016102"
Synaptic adhesion-like molecules,REAC:R-GGA-8849932,0.012798790868285281,3,3,1,0.3333333333333333,0.3333333333333333,REAC,5310,1379,REAC:R-GGA-6794362,REAC,ENSGALG00000010050
Phosphate bond hydrolysis by NUDT proteins,REAC:R-GGA-2393930,0.012798790868285281,4,3,1,0.3333333333333333,0.25,REAC,5310,997,REAC:R-GGA-74259,REAC,ENSGALG00000041763
Vitamins,REAC:R-GGA-211916,0.012798790868285281,3,3,1,0.3333333333333333,0.3333333333333333,REAC,5310,1599,REAC:R-GGA-211897,REAC,ENSGALG00000016102
RA biosynthesis pathway,REAC:R-GGA-5365859,0.02682685369743043,14,3,1,0.3333333333333333,0.07142857142857142,REAC,5310,1074,REAC:R-GGA-5362517,REAC,ENSGALG00000016102
Purine catabolism,REAC:R-GGA-74259,0.02682685369743043,13,3,1,0.3333333333333333,0.07692307692307693,REAC,5310,1061,REAC:R-GGA-8956319,REAC,ENSGALG00000041763
Signaling by Retinoic Acid,REAC:R-GGA-5362517,0.036864862640859294,24,3,1,0.3333333333333333,0.041666666666666664,REAC,5310,1349,REAC:R-GGA-9006931,REAC,ENSGALG00000016102
Nucleotide catabolism,REAC:R-GGA-8956319,0.036864862640859294,27,3,1,0.3333333333333333,0.037037037037037035,REAC,5310,916,REAC:R-GGA-15869,REAC,ENSGALG00000041763
Protein-protein interactions at synapses,REAC:R-GGA-6794362,0.039218089432260954,37,3,1,0.3333333333333333,0.02702702702702703,REAC,5310,1057,REAC:R-GGA-112316,REAC,ENSGALG00000010050
Cytochrome P450 - arranged by substrate type,REAC:R-GGA-211897,0.039218089432260954,33,3,1,0.3333333333333333,0.030303030303030304,REAC,5310,321,REAC:R-GGA-211945,REAC,ENSGALG00000016102
