Statistic,Frequency 1,Frequency 2,Frequency 3
Lowest Allele Frequency Used,0.050,0+,No S*
Harmonic Mean Sample Size,16.2,16.3,16.4
Independent Comparisons,1555631,1744060,1550740
OverAll r^2,0.066718,0.066228,0.066663
Expected r^2 Sample,0.064873,0.064635,0.064805
Estimated Ne^,165.2,191.6,164.1
CI low Parametric,152.8,176.1,151.8
CI high Parametric,179.8,210.1,178.5
CI low JackKnife,116,134.9,116.5
CI high JackKnife,281.3,325.7,272.9
Waples' corrected Ne,191.3,221.8,190
Waples' corrected CI low Parametric,176.9,203.9,175.7
Waples' corrected CI high Parametric,208.2,243.2,206.7
Waples' corrected CI low JackKnife,134.3,156.2,134.9
Waples' corrected CI high JackKnife,325.7,377.1,316
