term_name,term_id,p_value,term_size,query_size,intersection_size,precision,recall,source,effective_domain_size,source_order,parents,evidence_codes,intersection
"beta,beta-carotene-9',10'-cleaving oxygenase activity",GO:0102076,0.02082731703902188,1,20,1,0.05,1,GO:MF,12697,10531,GO:0016702,IEA,ENSGALG00000007868
lactosylceramide 4-alpha-galactosyltransferase activity,GO:0050512,0.02082731703902188,1,20,1,0.05,1,GO:MF,12697,8892,GO:0035250,IEA,ENSGALG00000014128
interleukin-18 receptor binding,GO:0045515,0.02082731703902188,1,20,1,0.05,1,GO:MF,12697,7208,GO:0005126,IEA,ENSGALG00000007874
thromboxane A2 receptor binding,GO:0031870,0.02082731703902188,1,20,1,0.05,1,GO:MF,12697,5273,GO:0031862,IEA,ENSGALG00000003602
dihydrolipoamide S-acyltransferase activity,GO:0030523,0.02082731703902188,1,20,1,0.05,1,GO:MF,12697,4863,GO:0016417,IEA,ENSGALG00000007904
S-acetyltransferase activity,GO:0016418,0.02082731703902188,1,20,1,0.05,1,GO:MF,12697,3522,"GO:0016407,GO:0016417",IEA,ENSGALG00000007904
succinate dehydrogenase (ubiquinone) activity,GO:0008177,0.02082731703902188,1,20,1,0.05,1,GO:MF,12697,2020,"GO:0000104,GO:0016635",IEA,ENSGALG00000007878
structural constituent of eye lens,GO:0005212,0.02082731703902188,16,20,2,0.1,0.125,GO:MF,12697,1707,GO:0005198,"IEA,IEA","ENSGALG00000007945,ENSGALG00000040842"
dihydrolipoyllysine-residue acetyltransferase activity,GO:0004742,0.02082731703902188,1,20,1,0.05,1,GO:MF,12697,1310,"GO:0016418,GO:0030523,GO:0140096",IEA,ENSGALG00000007904
"oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor",GO:0016635,0.031217598962134725,2,20,1,0.05,0.5,GO:MF,12697,3616,GO:0016627,IEA,ENSGALG00000007878
prostanoid receptor binding,GO:0031862,0.031217598962134725,2,20,1,0.05,0.5,GO:MF,12697,5265,GO:0001664,IEA,ENSGALG00000003602
succinate dehydrogenase activity,GO:0000104,0.031217598962134725,2,20,1,0.05,0.5,GO:MF,12697,26,GO:0016627,IEA,ENSGALG00000007878
Citrate cycle (TCA cycle),KEGG:00020,0.022195890985018042,28,8,2,0.25,0.07142857142857142,KEGG,4831,3,KEGG:00000,"KEGG,KEGG","ENSGALG00000007878,ENSGALG00000007904"
HSF1-dependent transactivation,REAC:R-GGA-3371571,0.0034652795899670517,10,8,2,0.25,0.2,REAC,5310,605,REAC:R-GGA-3371556,"REAC,REAC","ENSGALG00000005088,ENSGALG00000007945"
Cellular response to heat stress,REAC:R-GGA-3371556,0.004027609061604307,15,8,2,0.25,0.13333333333333333,REAC,5310,255,REAC:R-GGA-2262752,"REAC,REAC","ENSGALG00000005088,ENSGALG00000007945"
Pyruvate metabolism and Citric Acid (TCA) cycle,REAC:R-GGA-71406,0.01256294866543204,33,8,2,0.25,0.06060606060606061,REAC,5310,1073,REAC:R-GGA-1428517,"REAC,REAC","ENSGALG00000007878,ENSGALG00000007904"
Protein-protein interactions at synapses,REAC:R-GGA-6794362,0.01256294866543204,37,8,2,0.25,0.05405405405405406,REAC,5310,1057,REAC:R-GGA-112316,"REAC,REAC","ENSGALG00000014106,ENSGALG00000027255"
Neuronal System,REAC:R-GGA-112316,0.02694144701415338,222,8,3,0.375,0.013513513513513514,REAC,5310,888,REAC:0000000,"REAC,REAC,REAC","ENSGALG00000014106,ENSGALG00000027255,ENSGALG00000005088"
