Statistic,Frequency 1,Frequency 2,Frequency 3
Lowest Allele Frequency Used,0.050,0+,No S*
Harmonic Mean Sample Size,42.1,43,43.1
Independent Comparisons,1092635,1758925,1393437
OverAll r^2,0.033049,0.029682,0.031369
Expected r^2 Sample,0.022994,0.022986,0.023016
Estimated Ne^,30.9,47.6,37.7
CI low Parametric,30.6,47.2,37.4
CI high Parametric,31.2,48.1,38.1
CI low JackKnife,26.3,40.6,32.1
CI high JackKnife,36.8,56.7,45
Waples' corrected Ne,35.8,55.1,43.6
Waples' corrected CI low Parametric,35.4,54.6,43.3
Waples' corrected CI high Parametric,36.1,55.7,44.1
Waples' corrected CI low JackKnife,30.4,47,37.2
Waples' corrected CI high JackKnife,42.6,65.6,52.1
