term_name,term_id,p_value,term_size,query_size,intersection_size,precision,recall,source,effective_domain_size,source_order,parents,evidence_codes,intersection
embryonic appendage morphogenesis,GO:0035113,0.01704169437571739,90,26,4,0.15384615384615385,0.044444444444444446,GO:BP,12651,10143,"GO:0035107,GO:0048598","IEA,IEA,IEA,IEA","ENSGALG00000040266,ENSGALG00000032181,ENSGALG00000003814,ENSGALG00000003602"
limb morphogenesis,GO:0035108,0.01704169437571739,106,26,4,0.15384615384615385,0.03773584905660377,GO:BP,12651,10138,"GO:0035107,GO:0060173","IEA,IEA,IEA,IEA","ENSGALG00000040266,ENSGALG00000032181,ENSGALG00000003814,ENSGALG00000003602"
appendage morphogenesis,GO:0035107,0.01704169437571739,107,26,4,0.15384615384615385,0.037383177570093455,GO:BP,12651,10137,"GO:0009653,GO:0048736","IEA,IEA,IEA,IEA","ENSGALG00000040266,ENSGALG00000032181,ENSGALG00000003814,ENSGALG00000003602"
embryonic limb morphogenesis,GO:0030326,0.01704169437571739,89,26,4,0.15384615384615385,0.0449438202247191,GO:BP,12651,7808,"GO:0035108,GO:0035113","IEA,IEA,IEA,IEA","ENSGALG00000040266,ENSGALG00000032181,ENSGALG00000003814,ENSGALG00000003602"
head development,GO:0060322,0.02096979542990948,413,26,6,0.23076923076923078,0.014527845036319613,GO:BP,12651,17097,GO:0048856,"IEA,IEA,IEA,IEA,IEA,IEA","ENSGALG00000034616,ENSGALG00000040266,ENSGALG00000010114,ENSGALG00000039735,ENSGALG00000003814,ENSGALG00000003602"
limb development,GO:0060173,0.02096979542990948,131,26,4,0.15384615384615385,0.030534351145038167,GO:BP,12651,16969,GO:0048736,"IEA,IEA,IEA,IEA","ENSGALG00000040266,ENSGALG00000032181,ENSGALG00000003814,ENSGALG00000003602"
appendage development,GO:0048736,0.02096979542990948,132,26,4,0.15384615384615385,0.030303030303030304,GO:BP,12651,15036,"GO:0007275,GO:0048856","IEA,IEA,IEA,IEA","ENSGALG00000040266,ENSGALG00000032181,ENSGALG00000003814,ENSGALG00000003602"
endoderm development,GO:0007492,0.02096979542990948,50,26,3,0.11538461538461539,0.06,GO:BP,12651,3359,GO:0009888,"IEA,IEA,IEA","ENSGALG00000034616,ENSGALG00000010114,ENSGALG00000003814"
lagging strand elongation,GO:0006273,0.049689528276211564,1,26,1,0.038461538461538464,1,GO:BP,12651,2289,GO:0006271,ISS IEA,ENSGALG00000004037
regulation of pathway-restricted SMAD protein phosphorylation,GO:0060393,0.049689528276211564,31,26,2,0.07692307692307693,0.06451612903225806,GO:BP,12651,17164,"GO:0001932,GO:0060389","IBA IEA,IEA","ENSGALG00000034616,ENSGALG00000003814"
