term_name,term_id,p_value,term_size,query_size,intersection_size,precision,recall,source,effective_domain_size,source_order,parents,evidence_codes,intersection
forebrain generation of neurons,GO:0021872,0.010916297765549345,37,17,3,0.17647058823529413,0.08108108108108109,GO:BP,12651,7408,"GO:0030900,GO:0048699","IEA,IEA,IEA","ENSGALG00000034616,ENSGALG00000040266,ENSGALG00000037632"
endoderm development,GO:0007492,0.010916297765549345,50,17,3,0.17647058823529413,0.06,GO:BP,12651,3359,GO:0009888,"IEA,IEA,IEA","ENSGALG00000034616,ENSGALG00000037632,ENSGALG00000010114"
forebrain dorsal/ventral pattern formation,GO:0021798,0.010916297765549345,7,17,2,0.11764705882352941,0.2857142857142857,GO:BP,12651,7335,"GO:0009953,GO:0021871","IEA,IEA","ENSGALG00000040266,ENSGALG00000037632"
GABAergic neuron differentiation,GO:0097154,0.023983389451894842,12,17,2,0.11764705882352941,0.16666666666666666,GO:BP,12651,21674,GO:0030182,"IEA,IEA","ENSGALG00000034616,ENSGALG00000037632"
sagittal suture morphogenesis,GO:0060367,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,17140,GO:0060363,IEA,ENSGALG00000040266
forebrain regionalization,GO:0021871,0.03770527563101837,23,17,2,0.11764705882352941,0.08695652173913043,GO:BP,12651,7407,"GO:0003002,GO:0030900","IEA,IEA","ENSGALG00000040266,ENSGALG00000037632"
forebrain neuron differentiation,GO:0021879,0.03770527563101837,30,17,2,0.11764705882352941,0.06666666666666667,GO:BP,12651,7415,"GO:0021872,GO:0021953","IEA,IEA","ENSGALG00000034616,ENSGALG00000037632"
central nervous system neuron differentiation,GO:0021953,0.03770527563101837,130,17,3,0.17647058823529413,0.023076923076923078,GO:BP,12651,7489,"GO:0007417,GO:0030182","IEA,IEA,IEA","ENSGALG00000034616,ENSGALG00000040266,ENSGALG00000037632"
lateral semicircular canal development,GO:0060875,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,17628,GO:0060872,IEA,ENSGALG00000040266
lateral ganglionic eminence cell proliferation,GO:0022018,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,7554,GO:0022012,IEA,ENSGALG00000040266
telencephalon cell migration,GO:0022029,0.03770527563101837,41,17,2,0.11764705882352941,0.04878048780487805,GO:BP,12651,7565,"GO:0021537,GO:0021885","IEA,IEA","ENSGALG00000040266,ENSGALG00000037632"
respiratory tube development,GO:0030323,0.03770527563101837,125,17,3,0.17647058823529413,0.024,GO:BP,12651,7805,"GO:0035295,GO:0048513","IEA,IEA,IEA","ENSGALG00000040266,ENSGALG00000037632,ENSGALG00000028483"
anterior semicircular canal development,GO:0060873,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,17626,GO:0060872,IEA,ENSGALG00000040266
lung development,GO:0030324,0.03770527563101837,122,17,3,0.17647058823529413,0.02459016393442623,GO:BP,12651,7806,"GO:0030323,GO:0048513,GO:0060541","IEA,IEA,IEA","ENSGALG00000040266,ENSGALG00000037632,ENSGALG00000028483"
positive regulation of protein homooligomerization,GO:0032464,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,8771,"GO:0032461,GO:0032462,GO:0051260",IEA,ENSGALG00000037837
"DNA replication, Okazaki fragment processing",GO:0033567,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,9526,"GO:0006259,GO:0006273",ISS IEA,ENSGALG00000004037
embryonic digit morphogenesis,GO:0042733,0.03770527563101837,40,17,2,0.11764705882352941,0.05,GO:BP,12651,11915,"GO:0030326,GO:0048598","IEA,IEA","ENSGALG00000040266,ENSGALG00000009318"
embryonic cranial skeleton morphogenesis,GO:0048701,0.03770527563101837,33,17,2,0.11764705882352941,0.06060606060606061,GO:BP,12651,15001,"GO:0048704,GO:1904888","IEA,IEA","ENSGALG00000040266,ENSGALG00000009318"
frontal suture morphogenesis,GO:0060364,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,17137,GO:0060363,IEA,ENSGALG00000040266
respiratory system development,GO:0060541,0.03770527563101837,137,17,3,0.17647058823529413,0.021897810218978103,GO:BP,12651,17306,GO:0048731,"IEA,IEA,IEA","ENSGALG00000040266,ENSGALG00000037632,ENSGALG00000028483"
lambdoid suture morphogenesis,GO:0060366,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,17139,GO:0060363,IEA,ENSGALG00000040266
epithelium development,GO:0060429,0.03770527563101837,656,17,5,0.29411764705882354,0.007621951219512195,GO:BP,12651,17195,GO:0009888,"IEA,IEA,IEA,IEA,IEA","ENSGALG00000034616,ENSGALG00000040266,ENSGALG00000037632,ENSGALG00000003947,ENSGALG00000009318"
positive regulation of protein oligomerization,GO:0032461,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,8768,"GO:0031334,GO:0032459,GO:0051259",IEA,ENSGALG00000037837
cerebral cortex cell migration,GO:0021795,0.03770527563101837,34,17,2,0.11764705882352941,0.058823529411764705,GO:BP,12651,7332,"GO:0021987,GO:0022029","IEA,IEA","ENSGALG00000040266,ENSGALG00000037632"
subpallium cell proliferation in forebrain,GO:0022012,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,7548,"GO:0021544,GO:0021846",IEA,ENSGALG00000040266
lagging strand elongation,GO:0006273,0.03770527563101837,1,17,1,0.058823529411764705,1,GO:BP,12651,2289,GO:0006271,ISS IEA,ENSGALG00000004037
hippocampus development,GO:0021766,0.03770527563101837,41,17,2,0.11764705882352941,0.04878048780487805,GO:BP,12651,7303,"GO:0021543,GO:0021761,GO:0048856","IEA,IEA","ENSGALG00000040266,ENSGALG00000037632"
subpallium development,GO:0021544,0.03770527563101837,17,17,2,0.11764705882352941,0.11764705882352941,GO:BP,12651,7085,"GO:0021537,GO:0048856","IEA,IEA","ENSGALG00000034616,ENSGALG00000040266"
telencephalon development,GO:0021537,0.03770527563101837,147,17,3,0.17647058823529413,0.02040816326530612,GO:BP,12651,7078,"GO:0030900,GO:0048856","IEA,IEA,IEA","ENSGALG00000034616,ENSGALG00000040266,ENSGALG00000037632"
neural tube patterning,GO:0021532,0.03770527563101837,29,17,2,0.11764705882352941,0.06896551724137931,GO:BP,12651,7073,"GO:0003002,GO:0021915","IEA,IEA","ENSGALG00000040266,ENSGALG00000009318"
pattern specification process,GO:0007389,0.03770527563101837,298,17,4,0.23529411764705882,0.013422818791946308,GO:BP,12651,3266,"GO:0007275,GO:0032501","IEA,IEA,IBA,IEA","ENSGALG00000040266,ENSGALG00000037632,ENSGALG00000009341,ENSGALG00000009318"
DNA duplex unwinding,GO:0032508,0.03881175395454535,43,17,2,0.11764705882352941,0.046511627906976744,GO:BP,12651,8809,GO:0032392,"IEA,IEA","ENSGALG00000004037,ENSGALG00000006091"
forebrain cell migration,GO:0021885,0.03881175395454535,43,17,2,0.11764705882352941,0.046511627906976744,GO:BP,12651,7421,"GO:0016477,GO:0030900","IEA,IEA","ENSGALG00000040266,ENSGALG00000037632"
progesterone secretion,GO:0042701,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,11893,"GO:0001553,GO:0022412,GO:0022602,GO:0035929",IEA,ENSGALG00000034616
DNA strand elongation involved in DNA replication,GO:0006271,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,2287,"GO:0006261,GO:0022616",ISS IEA,ENSGALG00000004037
positive regulation of transcription by RNA polymerase II,GO:0045944,0.04061736371501156,757,17,5,0.29411764705882354,0.0066050198150594455,GO:BP,12651,13651,"GO:0006357,GO:0006366,GO:0045893","IEA,IEA,IEA,IEA,IEA","ENSGALG00000034616,ENSGALG00000040266,ENSGALG00000037632,ENSGALG00000010114,ENSGALG00000028483"
smoothened signaling pathway involved in ventral spinal cord interneuron specification,GO:0021775,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,7312,"GO:0021521,GO:0021910",IEA,ENSGALG00000040266
oligodendrocyte differentiation,GO:0048709,0.04061736371501156,56,17,2,0.11764705882352941,0.03571428571428571,GO:BP,12651,15009,"GO:0007417,GO:0010001","IEA,IEA","ENSGALG00000040266,ENSGALG00000037632"
positive regulation of ovulation,GO:0060279,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,17056,"GO:0030728,GO:0051240,GO:0060278,GO:2000243",IEA,ENSGALG00000034616
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification,GO:0021776,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,7313,"GO:0021520,GO:0021910",IEA,ENSGALG00000040266
SMAD protein signal transduction,GO:0060395,0.04061736371501156,54,17,2,0.11764705882352941,0.037037037037037035,GO:BP,12651,17166,"GO:0007165,GO:0007178","IBA,IEA","ENSGALG00000034616,ENSGALG00000003935"
larynx morphogenesis,GO:0120223,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,22884,"GO:0009887,GO:0120224",IEA,ENSGALG00000040266
larynx development,GO:0120224,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,22885,"GO:0048513,GO:0060541",IEA,ENSGALG00000040266
regulation of phospholipid efflux,GO:1902994,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,26109,"GO:0033700,GO:2001138",IEA,ENSGALG00000037837
positive regulation of phospholipid efflux,GO:1902995,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,26110,"GO:0033700,GO:1902994,GO:2001140",IEA,ENSGALG00000037837
cranial skeletal system development,GO:1904888,0.04061736371501156,48,17,2,0.11764705882352941,0.041666666666666664,GO:BP,12651,27817,GO:0048856,"IEA,IEA","ENSGALG00000040266,ENSGALG00000009318"
head development,GO:0060322,0.04061736371501156,413,17,4,0.23529411764705882,0.009685230024213076,GO:BP,12651,17097,GO:0048856,"IEA,IEA,IEA,IEA","ENSGALG00000034616,ENSGALG00000040266,ENSGALG00000037632,ENSGALG00000010114"
DNA conformation change,GO:0071103,0.04061736371501156,54,17,2,0.11764705882352941,0.037037037037037035,GO:BP,12651,19224,GO:0051276,"IEA,IEA","ENSGALG00000004037,ENSGALG00000006091"
neuron fate commitment,GO:0048663,0.04061736371501156,48,17,2,0.11764705882352941,0.041666666666666664,GO:BP,12651,14964,"GO:0030182,GO:0045165","IEA,IEA","ENSGALG00000040266,ENSGALG00000037632"
striatal medium spiny neuron differentiation,GO:0021773,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,7310,"GO:0021756,GO:0021879",IEA,ENSGALG00000034616
regulation of protein oligomerization,GO:0032459,0.04061736371501156,2,17,1,0.058823529411764705,0.5,GO:BP,12651,8766,"GO:0043254,GO:0051259",IEA,ENSGALG00000037837
