term_name,term_id,p_value,term_size,query_size,intersection_size,precision,recall,source,effective_domain_size,source_order,parents,evidence_codes,intersection
structural constituent of eye lens,GO:0005212,0.039464399304277184,16,21,2,0.09523809523809523,0.125,GO:MF,12697,1707,GO:0005198,"IEA,IEA","ENSGALG00000007945,ENSGALG00000040842"
lactosylceramide 4-alpha-galactosyltransferase activity,GO:0050512,0.042340710404033643,1,21,1,0.047619047619047616,1,GO:MF,12697,8892,GO:0035250,IEA,ENSGALG00000014128
N-acetyl-L-aspartate-L-glutamate ligase activity,GO:0072590,0.042340710404033643,1,21,1,0.047619047619047616,1,GO:MF,12697,10060,GO:0016879,IEA,ENSGALG00000040184
citrate-L-glutamate ligase activity,GO:0072591,0.042340710404033643,1,21,1,0.047619047619047616,1,GO:MF,12697,10061,GO:0016879,IEA,ENSGALG00000040184
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential,GO:1905030,0.042340710404033643,1,21,1,0.047619047619047616,1,GO:MF,12697,12116,GO:0005244,IEA,ENSGALG00000009066
Mitochondrial tRNA aminoacylation,REAC:R-GGA-379726,0.02183528734029912,1,6,1,0.16666666666666666,1,REAC,5310,823,REAC:R-GGA-379724,REAC,ENSGALG00000010582
Pyrophosphate hydrolysis,REAC:R-GGA-71737,0.02183528734029912,2,6,1,0.16666666666666666,0.5,REAC,5310,1069,REAC:R-GGA-1430728,REAC,ENSGALG00000010582
tRNA Aminoacylation,REAC:R-GGA-379724,0.02183528734029912,2,6,1,0.16666666666666666,0.5,REAC,5310,1645,REAC:R-GGA-72766,REAC,ENSGALG00000010582
Phase 1 - inactivation of fast Na+ channels,REAC:R-GGA-5576894,0.04088335724441125,5,6,1,0.16666666666666666,0.2,REAC,5310,988,REAC:R-GGA-5576891,REAC,ENSGALG00000009066
Glutamate and glutamine metabolism,REAC:R-GGA-8964539,0.045746252116576056,7,6,1,0.16666666666666666,0.14285714285714285,REAC,5310,571,REAC:R-GGA-71291,REAC,ENSGALG00000040184
