term_name,term_id,p_value,term_size,query_size,intersection_size,precision,recall,source,effective_domain_size,source_order,parents,evidence_codes,intersection
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen",GO:0016714,0.006301014826122674,8,17,2,0.11764705882352941,0.25,GO:MF,12697,3687,"GO:0004497,GO:0016705","IBA IEA,IEA","ENSGALG00000012754,ENSGALG00000019300"
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential,GO:1905030,0.016310223603278527,1,17,1,0.058823529411764705,1,GO:MF,12697,12116,GO:0005244,IEA,ENSGALG00000009066
"beta,beta-carotene-9',10'-cleaving oxygenase activity",GO:0102076,0.016310223603278527,1,17,1,0.058823529411764705,1,GO:MF,12697,10531,GO:0016702,IEA,ENSGALG00000007868
interleukin-18 receptor binding,GO:0045515,0.016310223603278527,1,17,1,0.058823529411764705,1,GO:MF,12697,7208,GO:0005126,IEA,ENSGALG00000007874
thromboxane A2 receptor binding,GO:0031870,0.016310223603278527,1,17,1,0.058823529411764705,1,GO:MF,12697,5273,GO:0031862,IEA,ENSGALG00000003602
dihydrolipoyllysine-residue acetyltransferase activity,GO:0004742,0.016310223603278527,1,17,1,0.058823529411764705,1,GO:MF,12697,1310,"GO:0016418,GO:0030523,GO:0140096",IEA,ENSGALG00000007904
thyroid-stimulating hormone receptor activity,GO:0004996,0.016310223603278527,1,17,1,0.058823529411764705,1,GO:MF,12697,1528,"GO:0004930,GO:0016500",IEA,ENSGALG00000010572
succinate dehydrogenase (ubiquinone) activity,GO:0008177,0.016310223603278527,1,17,1,0.058823529411764705,1,GO:MF,12697,2020,"GO:0000104,GO:0016635",IEA,ENSGALG00000007878
S-acetyltransferase activity,GO:0016418,0.016310223603278527,1,17,1,0.058823529411764705,1,GO:MF,12697,3522,"GO:0016407,GO:0016417",IEA,ENSGALG00000007904
oxidoreductase activity,GO:0016491,0.016310223603278527,578,17,5,0.29411764705882354,0.00865051903114187,GO:MF,12697,3552,GO:0003824,"IBA IEA,IEA,IEA,IEA,IEA","ENSGALG00000012754,ENSGALG00000019300,ENSGALG00000007868,ENSGALG00000007878,ENSGALG00000007904"
dihydrolipoamide S-acyltransferase activity,GO:0030523,0.016310223603278527,1,17,1,0.058823529411764705,1,GO:MF,12697,4863,GO:0016417,IEA,ENSGALG00000007904
succinate dehydrogenase activity,GO:0000104,0.02390658777423842,2,17,1,0.058823529411764705,0.5,GO:MF,12697,26,GO:0016627,IEA,ENSGALG00000007878
prostanoid receptor binding,GO:0031862,0.02390658777423842,2,17,1,0.058823529411764705,0.5,GO:MF,12697,5265,GO:0001664,IEA,ENSGALG00000003602
"oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor",GO:0016635,0.02390658777423842,2,17,1,0.058823529411764705,0.5,GO:MF,12697,3616,GO:0016627,IEA,ENSGALG00000007878
cGMP-dependent protein kinase activity,GO:0004692,0.02390658777423842,2,17,1,0.058823529411764705,0.5,GO:MF,12697,1267,GO:0004690,IEA,ENSGALG00000003805
phenylalanine 4-monooxygenase activity,GO:0004505,0.031621137534587826,3,17,1,0.058823529411764705,0.3333333333333333,GO:MF,12697,1107,GO:0016714,IBA IEA,ENSGALG00000012754
A-type (transient outward) potassium channel activity,GO:0005250,0.031621137534587826,3,17,1,0.058823529411764705,0.3333333333333333,GO:MF,12697,1736,GO:0015271,IEA,ENSGALG00000009066
pyruvate dehydrogenase [NAD(P)+] activity,GO:0034603,0.03581471454601101,4,17,1,0.058823529411764705,0.25,GO:MF,12697,6033,"GO:0004738,GO:0016620",IEA,ENSGALG00000007904
pyruvate dehydrogenase (NAD+) activity,GO:0034604,0.03581471454601101,4,17,1,0.058823529411764705,0.25,GO:MF,12697,6034,GO:0034603,IEA,ENSGALG00000007904
monooxygenase activity,GO:0004497,0.03581471454601101,82,17,2,0.11764705882352941,0.024390243902439025,GO:MF,12697,1099,GO:0016491,"IBA IEA,IEA","ENSGALG00000012754,ENSGALG00000019300"
pyruvate dehydrogenase activity,GO:0004738,0.040672906439859616,5,17,1,0.058823529411764705,0.2,GO:MF,12697,1306,GO:0016903,IEA,ENSGALG00000007904
cyclic nucleotide-dependent protein kinase activity,GO:0004690,0.040672906439859616,5,17,1,0.058823529411764705,0.2,GO:MF,12697,1265,GO:0004674,IEA,ENSGALG00000003805
Citrate cycle (TCA cycle),KEGG:00020,0.009322274213707578,28,8,2,0.25,0.07142857142857142,KEGG,4831,3,KEGG:00000,"KEGG,KEGG","ENSGALG00000007878,ENSGALG00000007904"
Folate biosynthesis,KEGG:00790,0.009322274213707578,26,8,2,0.25,0.07692307692307693,KEGG,4831,125,KEGG:00000,"KEGG,KEGG","ENSGALG00000012754,ENSGALG00000019300"
Pyruvate metabolism and Citric Acid (TCA) cycle,REAC:R-GGA-71406,0.03791053900088926,33,8,2,0.25,0.06060606060606061,REAC,5310,1073,REAC:R-GGA-1428517,"REAC,REAC","ENSGALG00000007878,ENSGALG00000007904"
